pair_id,doi_o_norm,doi_r_norm,outcome,type,source,n_pages_citing_o,n_pages_citing_both,citing_pages,pages_citing_both,any_co_citation
962,10.1037/h0040525,10.1371/journal.pone.0209704,mixed,replication,replications,19,0,List of cognitive biases | Conformity | Moral psychology | Milgram experiment | Obedience | Evil | Psychology | Social influence | Social determinism | Stanley Milgram | Deception | Authority bias | List of medical ethics cases | Obedience to Authority: An Experimental View | 1963 in science | Holiday in the Protectorate | Human subject research | Situationism (psychology) | We Do What We're Told (Milgram's 37),,FALSE
302,10.1073/pnas.1516047113,10.1038/s41562-024-02062-9,failed,replication,COS,11,0,Intergroup relations | Adultification | Pain management | Racial discrimination | Medical racism in the United States | Gender and disability | Medical exploitation of Black women in the United States | Intersectionality | Endometriosis | Pain | Pain tolerance,,FALSE
354,10.1086/511799,10.1098/rsos.231240,mixed,replication,COS,10,0,Occupational inequality | Sexism | Employment discrimination | Gender pay gap in the United States | Joseph Berger (sociologist) | Working parent | Work–family conflict | Motherhood penalty | Maternal wall | Child penalties,,FALSE
515,10.1126/science.7455683,10.1177/2515245918810225,successful,replication,COS,10,0,Framing effect (psychology) | Fuzzy-trace theory | Sunk cost | List of cognitive biases | Risk aversion (psychology) | Mental accounting | Certainty effect | Framing (social sciences) | Pseudocertainty effect | List of Israeli inventions and discoveries,,FALSE
516,10.1126/science.7455683,10.1027/1864-9335/a000178,successful,replication,COS,10,0,Framing effect (psychology) | Fuzzy-trace theory | Sunk cost | List of cognitive biases | Risk aversion (psychology) | Mental accounting | Certainty effect | Framing (social sciences) | Pseudocertainty effect | List of Israeli inventions and discoveries,,FALSE
1508,10.1126/science.7455683,10.1016/j.ssci.2020.105065,successful,replication,replications,10,0,Framing effect (psychology) | Fuzzy-trace theory | Sunk cost | List of cognitive biases | Risk aversion (psychology) | Mental accounting | Certainty effect | Framing (social sciences) | Pseudocertainty effect | List of Israeli inventions and discoveries,,FALSE
1523,10.1126/science.7455683,10.1073/pnas.2202700119,successful,replication,replications,10,0,Framing effect (psychology) | Fuzzy-trace theory | Sunk cost | List of cognitive biases | Risk aversion (psychology) | Mental accounting | Certainty effect | Framing (social sciences) | Pseudocertainty effect | List of Israeli inventions and discoveries,,FALSE
1748,10.1162/qjec.121.1.73,10.18718/81781.7,failed,replication,replications,10,0,Hookworm infection | Necator americanus | Mass deworming | Hookworm | Hoyt Bleakley | Geography and wealth | Rural American history | History of public health in the United States | History of the Southern United States | Charles Wardell Stiles,,FALSE
141,10.1037/0022-3514.76.6.893,10.17605/osf.io/7weum,mixed,replication,COS,9,0,John Bargh | Mirror neuron | Imitation | Belongingness | Mirroring | Tanya Chartrand | Motor cognition | Social cognition | Conformity,,FALSE
1034,10.1126/science.167.3914.86,10.1037/com0000223,failed,replication,replications,9,1,Mirror test | Infant cognitive development | Consciousness | Face perception | Mammal | Animal cognition | Origin of language | Animal consciousness | Gordon G. Gallup,Mirror test,TRUE
261,10.1037/h0054651,10.1016/j.jesp.2015.10.012,successful,replication,COS,8,0,Affective neuroscience | Stroop effect | Emotion perception | Timeline of psychology | John Ridley Stroop | Mental chronometry | Enclothed cognition | Numerical Stroop effect,,FALSE
922,10.1111/j.1083-6101.2007.00367.x,10.1080/10510974.2018.1464937,mixed,replication,replications,8,0,Social capital | Popularity | Internet relationship | Social networking service | New media | Problematic social media use | Privacy concerns with social networking services | Facebook,,FALSE
