doi_o_norm,n_articles_citing,any_co_cited,outcomes,worst_outcome
10.1037/h0040525,19,FALSE,mixed,mixed
10.1073/pnas.1516047113,11,FALSE,failed,failed
10.1086/511799,10,FALSE,mixed,mixed
10.1126/science.7455683,10,FALSE,successful,successful
10.1162/qjec.121.1.73,10,FALSE,failed,failed
10.1037/0022-3514.76.6.893,9,FALSE,mixed,mixed
10.1126/science.167.3914.86,9,TRUE,failed,failed
10.1037/h0054651,8,FALSE,successful,successful
10.1111/j.1083-6101.2007.00367.x,8,FALSE,mixed,mixed
10.1111/j.2044-8295.1975.tb01468.x,8,FALSE,failed,failed
10.1037/0022-3514.71.2.230,7,TRUE,failed,failed
10.1038/nature11071,7,FALSE,failed,failed
10.1016/j.cub.2011.03.017,6,FALSE,mixed,mixed
10.1037/0003-066x.54.6.408,6,FALSE,failed,failed
10.1037/0022-3514.54.5.768,6,TRUE,failed; mixed,failed
10.1037/h0055756,6,FALSE,failed; mixed,failed
10.1037/0022-3514.94.2.245,5,FALSE,successful,successful
10.1037/h0093718,5,TRUE,successful,successful
10.1038/nature01647,5,FALSE,failed,failed
10.1038/s41586-021-03380-y,5,FALSE,successful,successful
10.1073/pnas.251541498,5,FALSE,successful,successful
10.1080/17470215908416289,5,FALSE,successful,successful
10.1177/0956797611434537,5,FALSE,failed,failed
10.1371/journal.pone.0175799,5,FALSE,failed,failed
10.3928/0048-5713-19951201-07,5,FALSE,successful,successful
10.1006/jesp.1996.1314,4,FALSE,successful,successful
10.1007/s10508-007-9175-2,4,FALSE,successful,successful
10.1037/0022-3514.89.3.277,4,FALSE,mixed,mixed
10.1037/0033-295x.93.2.136,4,TRUE,successful,successful
10.1037/0096-1523.1.3.288,4,FALSE,failed,failed
10.1037/a0020092,4,FALSE,failed,failed
10.1037/a0021524,4,TRUE,failed; mixed,failed
10.1073/pnas.1009906107,4,TRUE,failed; mixed,failed
10.1111/j.1467-8624.2007.00995.x,4,FALSE,failed,failed
10.1111/j.1745-6916.2006.00007.x,4,FALSE,failed,failed
10.1126/science.1091721,4,FALSE,successful,successful
10.1126/science.1130726,4,TRUE,failed; successful,failed
10.1126/science.1150952,4,FALSE,mixed,mixed
10.1126/science.1186799,4,FALSE,failed,failed
10.1126/science.1207745,4,TRUE,failed,failed
10.1126/science.1238041,4,TRUE,failed,failed
10.1162/qjec.122.3.1067,4,FALSE,successful,successful
10.1176/appi.ajp.160.11.1965,4,FALSE,failed,failed
10.1177/0003122410378232,4,FALSE,mixed,mixed
10.1177/0146167202286008,4,TRUE,successful,successful
10.1177/0146167211424291,4,FALSE,successful,successful
10.1177/0956797614524581,4,FALSE,mixed,mixed
10.1257/0002828054201387,4,FALSE,failed,failed
10.1371/journal.pone.0016782,4,FALSE,successful,successful
10.2307/1412188,4,FALSE,successful,successful
10.1002/bdm.656,3,FALSE,successful,successful
10.1002/dev.420050403,3,TRUE,mixed,mixed
10.1002/ejsp.2420170402,3,FALSE,successful,successful
10.1016/j.ccr.2010.01.020,3,FALSE,successful,successful
10.1016/j.jesp.2015.01.005,3,FALSE,successful,successful
10.1016/j.obhdp.2006.01.005,3,FALSE,failed,failed
10.1037/0012-1649.26.6.978,3,TRUE,mixed,mixed
10.1037/0022-3514.49.6.1621,3,FALSE,successful,successful
10.1037/0022-3514.74.4.865,3,FALSE,failed,failed
10.1037/0022-3514.81.1.33,3,FALSE,failed,failed
10.1037/0022-3514.81.6.1014,3,TRUE,failed,failed
10.1037/0022-3514.83.1.44,3,FALSE,successful,successful
10.1037/0022-3514.84.6.1236,3,TRUE,successful,successful
10.1037/0022-3514.86.5.680,3,FALSE,mixed,mixed
10.1037/0022-3514.90.2.197,3,FALSE,mixed,mixed
10.1037/0022-3514.94.1.1,3,FALSE,failed,failed
10.1037/a0022406,3,TRUE,successful,successful
10.1037/a0035663,3,FALSE,failed,failed
10.1037/cou0000131,3,FALSE,successful,successful
10.1037/h0076284,3,FALSE,successful,successful
10.1038/365611a0,3,FALSE,successful,successful
10.1038/mp.2015.109,3,FALSE,failed,failed
10.1038/nature09144,3,FALSE,mixed,mixed
10.1038/ng.2802,3,FALSE,failed; successful,failed
10.1038/ng.439,3,FALSE,mixed,mixed
10.1038/s41562-018-0399-z,3,FALSE,failed,failed
10.1038/srep38427,3,TRUE,failed,failed
10.1057/s41599-019-0279-9,3,TRUE,successful,successful
10.1073/pnas.0801030105,3,FALSE,mixed,mixed
10.1073/pnas.1118373109,3,FALSE,failed; mixed,failed
10.1080/016396299266524,3,FALSE,mixed,mixed
10.1080/09515080307771,3,TRUE,successful,successful
10.1098/rsos.160384,3,FALSE,successful,successful
10.1111/j.1467-9280.2006.01704.x,3,FALSE,failed; mixed,failed
10.1126/science.1107621,3,FALSE,mixed,mixed
10.1126/science.1162548,3,TRUE,failed,failed
10.1126/science.1189993,3,FALSE,successful,successful
10.1126/science.1239918,3,FALSE,failed; mixed; successful,failed
10.1126/science.1253932,3,FALSE,successful,successful
10.1177/0267658310386439,3,FALSE,statistically successful but flawed,statistically successful but flawed
10.1177/1754073908100432,3,FALSE,successful,successful
10.3389/fnhum.2017.00468,3,FALSE,successful,successful
10.5840/philtopics2001291/217,3,TRUE,failed,failed
10.1001/jama.2010.574,2,FALSE,mixed,mixed
10.1001/jama.297.7.716,2,FALSE,mixed,mixed
10.1002/bdm.492,2,FALSE,failed,failed
10.1002/tea.21227,2,FALSE,successful,successful
10.1007/s10071-012-0510-1,2,FALSE,successful,successful
10.1007/s12110-004-1010-z,2,FALSE,mixed,mixed
10.1016/j.cell.2011.09.029,2,TRUE,failed,failed
10.1016/j.cell.2012.08.026,2,FALSE,mixed,mixed
10.1016/j.cognition.2003.10.003,2,TRUE,failed,failed
10.1016/j.cognition.2007.11.004,2,FALSE,failed,failed
10.1016/j.cognition.2010.09.012,2,FALSE,failed,failed
10.1016/j.cognition.2014.08.006,2,FALSE,failed,failed
10.1016/j.cub.2004.01.029,2,FALSE,failed,failed
10.1016/j.heares.2013.12.003,2,FALSE,failed,failed
10.1016/j.jfineco.2004.06.007,2,FALSE,failed; mixed,failed
10.1016/j.neuroimage.2013.05.039,2,FALSE,successful,successful
10.1016/j.nicl.2018.02.020,2,FALSE,mixed,mixed
10.1016/j.obhdp.2009.11.001,2,FALSE,failed,failed
10.1016/j.visres.2006.11.013,2,FALSE,failed,failed
10.1017/s0272263197001034,2,FALSE,successful,successful
10.1021/acscentsci.8b00879,2,FALSE,successful,successful
10.1023/a:1007744326393,2,FALSE,mixed,mixed
10.1037/0003-066x.60.5.410,2,FALSE,mixed,mixed
10.1037/0022-0663.91.2.358,2,FALSE,failed,failed
10.1037/0022-3514.54.4.569,2,FALSE,successful,successful
10.1037/0022-3514.58.6.1015,2,FALSE,mixed,mixed
10.1037/0022-3514.73.4.733,2,FALSE,failed; mixed,failed
10.1037/0022-3514.74.1.53,2,FALSE,successful,successful
10.1037/0022-3514.75.1.5,2,FALSE,failed,failed
10.1037/0022-3514.94.4.615,2,FALSE,failed,failed
10.1037/0022-3514.95.1.18,2,FALSE,failed,failed
10.1037/0033-295x.84.4.327,2,FALSE,mixed,mixed
10.1037/0278-7393.4.1.19,2,FALSE,successful,successful
10.1037/1040-3590.14.4.485,2,FALSE,successful,successful
10.1037/a0010932,2,FALSE,successful,successful
10.1037/a0019006,2,FALSE,successful,successful
10.1037/a0034755,2,FALSE,successful,successful
10.1037/h0028063,2,TRUE,mixed,mixed
10.1037/h0062326,2,FALSE,successful,successful
10.1037/xge0000263,2,FALSE,mixed,mixed
10.1038/nature01930,2,FALSE,failed,failed
10.1038/nature06014,2,FALSE,successful,successful
10.1038/nature06288,2,FALSE,failed; mixed,failed
10.1038/nature08833,2,FALSE,failed,failed
10.1038/nature10860,2,FALSE,mixed,mixed
10.1038/nature11467,2,FALSE,failed,failed
10.1038/nature15392,2,FALSE,successful,successful
10.1038/ng.2578,2,FALSE,mixed,mixed
10.1038/ng.485,2,FALSE,mixed,mixed
10.1038/ng.974,2,TRUE,successful,successful
10.1038/ng1732,2,FALSE,successful,successful
10.1038/nm.2284,2,FALSE,failed,failed
10.1038/s41561-020-00674-0,2,FALSE,failed,failed
10.1038/sj.mp.4001437,2,TRUE,successful,successful
10.1073/pnas.1113380109,2,FALSE,successful,successful
10.1073/pnas.1618923114,2,FALSE,successful,successful
10.1073/pnas.1908369116,2,FALSE,successful,successful
10.1080/00913367.2004.10639175,2,TRUE,successful,successful
10.1093/analys/63.3.190,2,TRUE,successful,successful
10.1098/rspb.2011.1959,2,FALSE,failed,failed
10.1101/gr.126516.111,2,FALSE,mixed,mixed
10.1111/1467-9280.00111,2,FALSE,failed; mixed,failed
10.1111/1540-6237.8402002,2,FALSE,failed,failed
10.1111/j.0956-7976.2004.00757.x,2,FALSE,mixed,mixed
10.1111/j.1467-9280.1992.tb00678.x,2,FALSE,mixed,mixed
10.1111/j.1467-9280.2006.01705.x,2,FALSE,failed,failed
10.1111/j.1467-9280.2008.02041.x,2,FALSE,successful,successful
10.1111/j.1467-9280.2008.02045.x,2,TRUE,failed,failed
10.1111/j.1467-9280.2008.02057.x,2,FALSE,successful,successful
10.1111/j.1467-9280.2008.02081.x,2,FALSE,failed,failed
10.1111/j.1467-9280.2008.02085.x,2,FALSE,successful,successful
10.1111/j.1467-9280.2008.02136.x,2,TRUE,successful,successful
10.1111/j.1467-9280.2009.02326.x,2,TRUE,failed,failed
10.1111/jofi.12698,2,FALSE,failed,failed
10.1121/1.1894649,2,FALSE,mixed,mixed
10.1126/science.1128317,2,FALSE,failed,failed
10.1126/science.1157627,2,TRUE,failed,failed
10.1126/science.1183057,2,FALSE,failed,failed
10.1126/science.1190792,2,FALSE,successful,successful
10.1126/science.1191465,2,FALSE,successful,successful
10.1126/science.1195996,2,FALSE,mixed,mixed
10.1126/science.1217697,2,FALSE,failed,failed
10.1126/science.1224820,2,FALSE,mixed,mixed
10.1126/science.1250830,2,FALSE,successful,successful
