doi,cited_by_count,publication_year,title,n_pages,found_on_wiki
10.1037/h0054651,18245,1935,Studies of interference in serial verbal reactions.,8,TRUE
10.1126/science.7455683,17193,1981,The Framing of Decisions and the Psychology of Choice,10,TRUE
10.4159/9780674369542,13386,2014,Capital in the Twenty-First Century,1,TRUE
10.1016/s1386-4181(01)00024-6,10217,2002,Illiquidity and stock returns: cross-section and time-series effects,0,FALSE
10.1016/0010-0285(73)90033-9,9872,1973,Availability: A heuristic for judging frequency and probability,12,TRUE
10.1111/j.1083-6101.2007.00367.x,9796,2007,The Benefits of Facebook “Friends:” Social Capital and College Students’ Use of Online Social Network Sites,8,TRUE
10.2307/3250921,8150,2001,Understanding Information Systems Continuance: An Expectation-Confirmation Model1,1,TRUE
10.1037/0033-295x.84.4.327,7256,1977,Features of similarity.,2,TRUE
10.1080/009262300278597,6431,2000,The Female Sexual Function Index (FSFI): A Multidimensional Self-Report Instrument for the Assessment of Female Sexual Function,1,TRUE
10.1002/(sici)1097-0266(199704)18:4<303::aid-smj869>3.0.co;2-g,6363,1997,THE CORPORATE SOCIAL PERFORMANCE-FINANCIAL PERFORMANCE LINK,0,FALSE
10.1037/0003-066x.60.5.410,5854,2005,Positive Psychology Progress: Empirical Validation of Interventions.,1,TRUE
10.1016/s0272-4944(05)80184-7,5590,1991,Stress recovery during exposure to natural and urban environments,2,TRUE
10.1037/0022-3514.58.6.1015,5499,1990,A focus theory of normative conduct: Recycling the concept of norms to reduce littering in public places.,2,TRUE
10.1111/1540-6237.8402002,5449,2003,Social Vulnerability to Environmental Hazards<sup>*</sup>,2,TRUE
10.1016/0304-3932(89)90047-0,5367,1989,Is public expenditure productive?,1,TRUE
10.1037/0012-1649.43.6.1428,5290,2007,School readiness and later achievement.,1,TRUE
10.1016/j.biopsych.2006.03.040,4956,2006,The Prevalence and Correlates of Eating Disorders in the National Comorbidity Survey Replication,0,FALSE
10.1016/0167-2681(82)90011-7,4872,1982,An experimental analysis of ultimatum bargaining,4,TRUE
10.1037/h0040525,4807,1963,Behavioral Study of obedience.,19,TRUE
10.1038/ng.2802,4629,2013,"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease",3,TRUE
10.1016/b978-0-12-205050-3.50008-7,4363,1974,Does Economic Growth Improve the Human Lot? Some Empirical Evidence,0,FALSE
10.1111/j.1540-4781.1986.tb05256.x,4216,1986,Foreign Language Classroom Anxiety,1,TRUE
10.1037/h0093718,4211,1956,Studies of independence and conformity: I. A minority of one against a unanimous majority.,5,TRUE
10.1093/pan/mpr057,4061,2012,Evaluating Online Labor Markets for Experimental Research: Amazon.com's Mechanical Turk,0,FALSE
10.1038/nature01960,3755,2003,Small molecule activators of sirtuins extend Saccharomyces cerevisiae lifespan,1,TRUE
10.1111/j.1467-8624.2007.00995.x,3696,2007,Implicit Theories of Intelligence Predict Achievement Across an Adolescent Transition: A Longitudinal Study and an Intervention,4,TRUE
10.1038/nm.2753,3689,2012,Melanoma exosomes educate bone marrow progenitor cells toward a pro-metastatic phenotype through MET,1,TRUE
10.1037/0022-3514.76.6.893,3588,1999,The chameleon effect: The perception–behavior link and social interaction.,9,TRUE
10.1126/science.198.4312.75,3220,1977,Imitation of Facial and Manual Gestures by Human Neonates,0,FALSE
10.1016/0022-1031(77)90049-x,3173,1977,The “false consensus effect”: An egocentric bias in social perception and attribution processes,3,TRUE
10.1037/0033-295x.93.2.136,3032,1986,Norm theory: Comparing reality to its alternatives.,3,TRUE
10.1037/1040-3590.14.4.485,2954,2002,The Obsessive-Compulsive Inventory: Development and validation of a short version.,2,TRUE
10.1080/00208825.1980.11656300,2947,1980,Culture and Organizations,0,FALSE
10.1016/0010-0285(83)90002-6,2929,1983,Schema induction and analogical transfer,1,TRUE
10.1016/j.jfineco.2004.06.007,2887,2005,Asset pricing with liquidity risk,2,TRUE
10.1126/science.1238041,2864,2013,Poverty Impedes Cognitive Function,4,TRUE
10.1016/j.cell.2011.08.017,2828,2011,BET Bromodomain Inhibition as a Therapeutic Strategy to Target c-Myc,1,TRUE
10.1016/s0165-1765(01)00394-9,2794,2001,Are people conditionally cooperative? Evidence from a public goods experiment,1,TRUE
10.1002/(sici)1099-0771(200001/03)13:1<1::aid-bdm333>3.0.co;2-s,2789,2000,The affect heuristic in judgments of risks and benefits,0,FALSE
10.1162/003355302320935025,2700,2002,Reversal of Fortune: Geography and Institutions in the Making of the Modern World Income Distribution,2,TRUE
10.1523/jneurosci.14-05-03208.1994,2662,1994,Adaptive representation of dynamics during learning of a motor task,0,FALSE
10.1016/s0883-9026(96)00003-1,2599,1997,Differences between entrepreneurs and managers in large organizations: Biases and heuristics in strategic decision-making,0,FALSE
10.1038/nature11005,2545,2012,Systematic identification of genomic markers of drug sensitivity in cancer cells,1,TRUE
10.1038/nature01647,2515,2003,Action video game modifies visual selective attention,5,TRUE
10.1509/jmkg.73.3.052,2473,2009,Brand Experience: What is It? How is it Measured? Does it Affect Loyalty?,2,TRUE
10.1037/h0055756,2468,1946,Forming impressions of personality.,6,TRUE
10.1086/511799,2425,2007,Getting a Job: Is There a Motherhood Penalty?,10,TRUE
10.1016/0010-0277(86)90010-7,2402,1986,Referring as a collaborative process,2,TRUE
10.1037/0022-3514.71.2.230,2394,1996,Automaticity of social behavior: Direct effects of trait construct and stereotype activation on action.,7,TRUE
10.1038/nature09144,2375,2010,A coding-independent function of gene and pseudogene mRNAs regulates tumour biology,3,TRUE
10.1073/pnas.1516047113,2361,2016,"Racial bias in pain assessment and treatment recommendations, and false beliefs about biological differences between blacks and whites",11,TRUE
10.18653/v1/2020.findings-emnlp.139,2358,2020,CodeBERT: A Pre-Trained Model for Programming and Natural Languages,0,FALSE
10.1126/science.1107621,2333,2005,Do 15-Month-Old Infants Understand False Beliefs?,3,TRUE
10.3758/bf03196313,2327,2002,Grounding language in action,1,TRUE
10.1038/ng1732,2271,2006,Variant of transcription factor 7-like 2 (TCF7L2) gene confers risk of type 2 diabetes,2,TRUE
10.1038/ng.439,2263,2009,Genome-wide association study identifies variants at CLU and CR1 associated with Alzheimer's disease,3,TRUE
10.1037/0022-3514.75.1.5,2252,1998,The role of feasibility and desirability considerations in near and distant future decisions: A test of temporal construal theory.,3,TRUE
10.1016/s2213-8587(18)30051-2,2243,2018,Novel subgroups of adult-onset diabetes and their association with outcomes: a data-driven cluster analysis of six variables,0,FALSE
10.1038/ng.520,2225,2010,New genetic loci implicated in fasting glucose homeostasis and their impact on type 2 diabetes risk,1,TRUE
10.1126/science.1224820,2201,2012,Intestinal Inflammation Targets Cancer-Inducing Activity of the Microbiota,2,TRUE
10.1017/s0272263197001034,2199,1997,CORRECTIVE FEEDBACK AND LEARNER UPTAKE,2,TRUE
10.1038/nm.4246,2197,2016,Resting-state connectivity biomarkers define neurophysiological subtypes of depression,0,FALSE
10.1257/aer.101.7.3221,2151,2011,The Slave Trade and the Origins of Mistrust in Africa,2,TRUE
10.3982/ecta13408,2134,2015,Identification Properties of Recent Production Function Estimators,0,FALSE
10.1016/0030-5073(76)90005-2,2072,1976,Knee-deep in the big muddy: a study of escalating commitment to a chosen course of action,2,TRUE
10.1101/gr.126516.111,2034,2011,<i>Fusobacterium nucleatum</i> infection is prevalent in human colorectal carcinoma,2,TRUE
10.1016/s0022-4359(00)00035-x,2013,2000,E-satisfaction: an initial examination,0,FALSE
10.1037/pspp0000096,1999,2016,"The next Big Five Inventory (BFI-2): Developing and assessing a hierarchical model with 15 facets to enhance bandwidth, fidelity, and predictive power.",1,TRUE
10.1016/0001-6918(81)90005-6,1994,1981,Are we all less risky and more skillful than our fellow drivers?,5,TRUE
10.1126/science.1091721,1986,2003,Medicine. Do defaults save lives?,4,TRUE
10.1037/a0012840,1975,2008,Engagement and disaffection in the classroom: Part of a larger motivational dynamic?,0,FALSE
10.1016/j.ccr.2010.01.020,1971,2010,The Common Feature of Leukemia-Associated IDH1 and IDH2 Mutations Is a Neomorphic Enzyme Activity Converting α-Ketoglutarate to 2-Hydroxyglutarate,3,TRUE
10.1038/nature10860,1958,2012,IDH mutation impairs histone demethylation and results in a block to cell differentiation,2,TRUE
10.1126/science.1168450,1932,2009,Self-Control in Decision-Making Involves Modulation of the vmPFC Valuation System,1,TRUE
10.1086/208911,1925,1982,Reference Group Influence on Product and Brand Purchase Decisions,0,FALSE
10.1111/j.1540-6261.2007.01207.x,1895,2007,Whom You Know Matters: Venture Capital Networks and Investment Performance,0,FALSE
10.1016/0010-0285(92)90013-r,1879,1992,The weighing of evidence and the determinants of confidence,0,FALSE
10.1016/j.cub.2004.01.029,1841,2004,The Ventriloquist Effect Results from Near-Optimal Bimodal Integration,2,TRUE
10.1016/s0010-0277(99)00073-6,1824,2000,Metaphoric structuring: understanding time through spatial metaphors,2,TRUE
10.1037/0022-3514.81.6.1014,1816,2001,The automated will: Nonconscious activation and pursuit of behavioral goals.,3,TRUE
10.1037/0022-3514.54.5.768,1802,1988,Inhibiting and facilitating conditions of the human smile: A nonobtrusive test of the facial feedback hypothesis.,6,TRUE
10.1038/ncb2048,1783,2010,Wnt activity defines colon cancer stem cells and is regulated by the microenvironment,0,FALSE
10.1037/0096-1523.1.3.288,1767,1975,Hindsight is not equal to foresight: The effect of outcome knowledge on judgment under uncertainty.,4,TRUE
10.1126/science.167.3914.86,1759,1970,Chimpanzees: Self-Recognition,9,TRUE
10.1207/s15326985ep3902_1,1740,2004,"Why Isn't Creativity More Important to Educational Psychologists? Potentials, Pitfalls, and Future Directions in Creativity Research",0,FALSE
10.1056/nejmoa073493,1732,2007,Risk Alleles for Multiple Sclerosis Identified by a Genomewide Study,0,FALSE
10.1177/0956797620939054,1725,2020,Fighting COVID-19 Misinformation on Social Media: Experimental Evidence for a Scalable Accuracy-Nudge Intervention,1,TRUE
10.1016/j.neuroimage.2013.05.039,1700,2013,Resting-state fMRI in the Human Connectome Project,2,TRUE
10.1111/j.2044-8295.1975.tb01468.x,1684,1975,CONTEXT‐DEPENDENT MEMORY IN TWO NATURAL ENVIRONMENTS: ON LAND AND UNDERWATER,8,TRUE
10.1192/bjp.129.2.125,1676,1976,The Influence of Family and Social Factors on the Course of Psychiatric Illness,0,FALSE
10.1073/pnas.1121623109,1643,2012,The CD47-signal regulatory protein alpha (SIRPa) interaction is a therapeutic target for human solid tumors,1,TRUE
10.1126/science.1150952,1641,2008,Spending Money on Others Promotes Happiness,4,TRUE
10.1038/ng2048,1623,2007,Variation in FTO contributes to childhood obesity and severe adult obesity,1,TRUE
10.1038/nature08833,1622,2010,RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth,2,TRUE
10.1038/nature06014,1612,2007,Genetic variants regulating ORMDL3 expression contribute to the risk of childhood asthma,2,TRUE
10.1017/s0140525x07001185,1588,2007,The Parieto-Frontal Integration Theory (P-FIT) of intelligence: Converging neuroimaging evidence,1,TRUE
10.1016/j.cell.2012.08.026,1566,2012,Transcriptional Amplification in Tumor Cells with Elevated c-Myc,2,TRUE
10.1126/science.1239918,1564,2013,Reading Literary Fiction Improves Theory of Mind,3,TRUE
10.1038/s41562-018-0399-z,1551,2018,Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,3,TRUE
10.1037/0022-3514.84.6.1236,1549,2003,The do re mi's of everyday life: The structure and personality correlates of music preferences.,3,TRUE
10.2307/256894,1547,1998,INTERNATIONAL EXPANSION THROUGH START-UP OR ACQUISITION: A LEARNING PERSPECTIVE.,0,FALSE
10.1037/0022-3514.37.10.1660,1546,1979,The role of category accessibility in the interpretation of information about persons: Some determinants and implications.,1,TRUE
10.1038/nature06288,1540,2007,Social evaluation by preverbal infants,2,TRUE
10.1126/science.1207745,1516,2011,Google Effects on Memory: Cognitive Consequences of Having Information at Our Fingertips,4,TRUE
10.1038/nature10509,1513,2011,Inhibition of BET recruitment to chromatin as an effective treatment for MLL-fusion leukaemia,1,TRUE
10.1126/science.1222426,1512,2012,Some Consequences of Having Too Little,0,FALSE
10.3758/s13428-021-01694-3,1494,2021,Data quality of platforms and panels for online behavioral research,0,FALSE
10.1016/j.cell.2009.12.040,1462,2010,Kinase-Dead BRAF and Oncogenic RAS Cooperate to Drive Tumor Progression through CRAF,0,FALSE
10.1037/a0020092,1458,2010,"Having less, giving more: The influence of social class on prosocial behavior.",4,TRUE
10.1038/nature09627,1446,2010,COT drives resistance to RAF inhibition through MAP kinase pathway reactivation,0,FALSE
10.1037/0022-0663.91.2.358,1439,1999,Cognitive principles of multimedia learning: The role of modality and contiguity.,2,TRUE
10.1037/0003-066x.54.6.408,1436,1999,The origins of sex differences in human behavior: Evolved dispositions versus social roles.,6,TRUE
